year,month,region,"co2, tons","trees, pcs"
2015,1,Вінницька,1077.032,40927
2015,2,Вінницька,856.557,32549
2015,3,Вінницька,846.821,32179
2015,4,Вінницька,651.401,24753
2015,5,Вінницька,561.009,21318
2015,6,Вінницька,549.503,20881
2015,7,Вінницька,525.749,19978
2015,8,Вінницька,569.638,21646
2015,9,Вінницька,547.014,20786
2015,10,Вінницька,653.319,24826
2015,11,Вінницька,754.773,28681
2015,12,Вінницька,806.949,30664
2016,1,Вінницька,1122.755,42664
2016,2,Вінницька,892.921,33930
2016,3,Вінницька,882.771,33545
2016,4,Вінницька,679.055,25804
2016,5,Вінницька,584.825,22223
2016,6,Вінницька,572.831,21767
2016,7,Вінницька,548.068,20826
2016,8,Вінницька,593.821,22565
2016,9,Вінницька,570.237,21668
2016,10,Вінницька,681.055,25880
2016,11,Вінницька,786.815,29898
2016,12,Вінницька,841.207,31965
2017,1,Вінницька,1066.554,40529
2017,2,Вінницька,848.224,32232
2017,3,Вінницька,838.582,31866
2017,4,Вінницька,645.064,24512
2017,5,Вінницька,555.551,21110
2017,6,Вінницька,544.157,20677
2017,7,Вінницька,520.634,19784
2017,8,Вінницька,564.096,21435
2017,9,Вінницька,541.692,20584
2017,10,Вінницька,646.963,24584
2017,11,Вінницька,747.430,28402
2017,12,Вінницька,799.099,30365
2018,1,Вінницька,1103.189,41921
2018,2,Вінницька,877.360,33339
2018,3,Вінницька,867.386,32960
2018,4,Вінницька,667.221,25354
2018,5,Вінницька,574.633,21836
2018,6,Вінницька,562.848,21388
2018,7,Вінницька,538.517,20463
2018,8,Вінницька,583.472,22171
2018,9,Вінницька,560.299,21291
2018,10,Вінницька,669.185,25429
2018,11,Вінницька,773.103,29377
2018,12,Вінницька,826.547,31408
2019,1,Вінницька,1059.191,40249
2019,2,Вінницька,842.369,32010
2019,3,Вінницька,832.794,31646
2019,4,Вінницька,640.611,24343
2019,5,Вінницька,551.716,20965
2019,6,Вінницька,540.400,20535
2019,7,Вінницька,517.040,19647
2019,8,Вінницька,560.202,21287
2019,9,Вінницька,537.953,20442
2019,10,Вінницька,642.497,24414
2019,11,Вінницька,742.270,28206
2019,12,Вінницька,793.582,30156
2015,1,Волинська,697.609,26509
2015,2,Волинська,554.804,21082
2015,3,Волинська,548.498,20842
2015,4,Волинська,421.922,16033
2015,5,Волинська,363.373,13808
2015,6,Волинська,355.921,13524
2015,7,Волинська,340.535,12940
2015,8,Волинська,368.963,14020
2015,9,Волинська,354.309,13463
2015,10,Волинська,423.164,16080
2015,11,Волинська,488.877,18577
2015,12,Волинська,522.672,19861
2016,1,Волинська,731.551,27798
2016,2,Волинська,581.798,22108
2016,3,Волинська,575.185,21857
2016,4,Волинська,442.450,16813
2016,5,Волинська,381.053,14480
2016,6,Волинська,373.238,14183
2016,7,Волинська,357.103,13569
2016,8,Волинська,386.914,14702
2016,9,Волинська,371.548,14118
2016,10,Волинська,443.753,16862
2016,11,Волинська,512.663,19481
2016,12,Волинська,548.103,20827
2017,1,Волинська,699.109,26566
2017,2,Волинська,555.997,21127
2017,3,Волинська,549.677,20887
2017,4,Волинська,422.829,16067
2017,5,Волинська,364.155,13837
2017,6,Волинська,356.686,13554
2017,7,Волинська,341.267,12968
2017,8,Волинська,369.756,14050
2017,9,Волинська,355.071,13492
2017,10,Волинська,424.074,16114
2017,11,Волинська,489.928,18617
2017,12,Волинська,523.796,19904
2018,1,Волинська,727.515,27645
2018,2,Волинська,578.589,21986
2018,3,Волинська,572.012,21736
2018,4,Волинська,440.010,16720
2018,5,Волинська,378.951,14400
2018,6,Волинська,371.179,14104
2018,7,Волинська,355.134,13495
2018,8,Волинська,384.780,14621
2018,9,Волинська,369.498,14040
2018,10,Волинська,441.305,16769
2018,11,Волинська,509.835,19373
2018,12,Волинська,545.079,20713
2019,1,Волинська,702.789,26705
2019,2,Волинська,558.924,21239
2019,3,Волинська,552.571,20997
2019,4,Волинська,425.055,16152
2019,5,Волинська,366.071,13910
2019,6,Волинська,358.564,13625
2019,7,Волинська,343.064,13036
2019,8,Волинська,371.702,14124
2019,9,Волинська,356.940,13563
2019,10,Волинська,426.306,16199
2019,11,Волинська,492.507,18715
2019,12,Волинська,526.554,20009
2015,1,Дніпропетровська,2191.160,83264
2015,2,Дніпропетровська,1742.618,66219
2015,3,Дніпропетровська,1722.809,65466
2015,4,Дніпропетровська,1325.239,50359
2015,5,Дніпропетровська,1141.340,43370
2015,6,Дніпропетровська,1117.932,42481
2015,7,Дніпропетровська,1069.606,40645
2015,8,Дніпропетровська,1158.896,44038
2015,9,Дніпропетровська,1112.869,42289
2015,10,Дніпропетровська,1329.141,50507
2015,11,Дніпропетровська,1535.542,58350
2015,12,Дніпропетровська,1641.693,62384
2016,1,Дніпропетровська,2288.789,86973
2016,2,Дніпропетровська,1820.261,69169
2016,3,Дніпропетровська,1799.570,68383
2016,4,Дніпропетровська,1384.286,52602
2016,5,Дніпропетровська,1192.193,45303
2016,6,Дніпропетровська,1167.742,44374
